GeneID	log2(FC)
FBgn0266418	-0.597818464230829
FBgn0025628	-0.500827941637938
FBgn0266801	0.952205188262053
FBgn0010395	0.826693783362889
FBgn0000579	0.418150193299436
FBgn0003525	-0.607785681931348
FBgn0263916	0.498792410707839
FBgn0265194	-0.482837718050041
FBgn0025836	-1.03223341637917
FBgn0034067	0.832087163511529
FBgn0027561	-0.479512798052793
FBgn0010316	-0.653003785676221
FBgn0039485	1.05316291600553
FBgn0000416	-0.385401201399249
FBgn0032635	0.545600370954576
FBgn0033113	0.820280683790601
FBgn0025681	-0.506882949801235
FBgn0003317	0.491917075013419
FBgn0015777	0.494589912900217
FBgn0286782	-0.735192940691262
FBgn0265512	-1.15469420864845
FBgn0010382	-0.544881730636021
FBgn0259246	0.74999095284105
FBgn0002778	-0.583634076264591
FBgn0261563	0.60800625778301
FBgn0000146	0.467118393108799
FBgn0033777	0.502370777047807
FBgn0039381	0.54493002634491
FBgn0027836	0.51051089811026
FBgn0250906	0.485307747499649
FBgn0032451	0.693762997031261
FBgn0264305	0.511533514670154
FBgn0030662	0.495616331626832
FBgn0011259	0.723631593700596
FBgn0010894	0.76510175554307
FBgn0033649	-0.601185858359189
FBgn0020493	-0.67279904142822
FBgn0014906	-0.435292100504482
FBgn0085446	0.519113149794329
FBgn0016075	0.460879955684771
FBgn0035879	-0.449039074908865
FBgn0000043	0.550976542121959
FBgn0039101	-0.793542067341909
FBgn0011016	0.469505855810498
FBgn0024150	-0.581621611558845
FBgn0032105	0.502966187056575
FBgn0024250	-0.683532659352538
FBgn0036576	-0.820447442959724
FBgn0031888	0.419071087549362
FBgn0000405	0.507735893424232
FBgn0040290	-0.505632554416694
FBgn0035001	-0.41853974076366
FBgn0028543	-0.537346418372122
FBgn0038720	0.655923640375485
FBgn0031489	0.458199386129144
FBgn0037607	0.463382762275188
FBgn0010097	0.872756091851479
FBgn0037223	-1.0850445592213
FBgn0028563	-0.559310126612129
FBgn0010223	-0.972805427114451
FBgn0031738	0.563762518804787
FBgn0032005	-0.394899839827666
FBgn0000447	0.521801811758582
FBgn0010222	-0.548672004303859
FBgn0027597	0.563706468104974
FBgn0033368	0.967660073545005
FBgn0283680	0.41758157873066
FBgn0041180	-0.429593231620351
FBgn0022338	-0.457358385179148
FBgn0261258	0.59021884464729
FBgn0027865	0.627625040183848
FBgn0046763	-0.422469669594212
FBgn0087007	0.853279097061335
FBgn0026084	0.479792936979236
FBgn0037240	0.500189293105248
FBgn0000565	0.608742654905869
FBgn0260960	-0.384518330887279
FBgn0033926	0.469924319694989
FBgn0031461	0.552868677245861
FBgn0034694	-0.580852265839796
FBgn0051352	0.595366937328451
FBgn0039494	-0.434955622617208
FBgn0035020	-0.655138688483403
FBgn0033079	-0.604808501559547
FBgn0027525	-0.392239758686984
FBgn0063493	0.711139141570625
FBgn0037850	0.568429045929048
FBgn0261547	-0.539027457484083
FBgn0036862	0.850372239533201
FBgn0031637	-0.413950677842245
FBgn0020386	-0.404108743256273
FBgn0035084	-0.733568008035076
FBgn0033446	-0.864290086344226
FBgn0004197	-0.44743226311058
FBgn0261545	-0.51324788294673
FBgn0050085	-0.423606314961968
FBgn0033362	-0.765069335584956
FBgn0013770	-0.341055754003353
FBgn0037844	0.6121707862314
FBgn0037678	1.01401417330777
FBgn0259110	-0.487303318517345
FBgn0034476	-0.795405772318825
FBgn0038256	-0.582665621818577
FBgn0262103	-0.487277387420204
FBgn0032156	-0.397754283402304
FBgn0259734	0.657142190504796
FBgn0030362	-0.425313189244021
FBgn0267727	0.390912514295509
FBgn0265042	-0.754568044602035
FBgn0022382	-0.469140089967036
FBgn0028490	-0.423286689091217
FBgn0039026	-0.413297853227485
FBgn0015795	-0.427457672048045
FBgn0036752	0.473420409923324
FBgn0086358	-0.448632716781986
FBgn0063667	0.97161217965592
FBgn0027843	0.536417550966338
FBgn0038545	0.824031035587265
FBgn0030752	-0.391215106703935
FBgn0264343	0.967145246778476
FBgn0034398	-0.389196990535012
FBgn0015576	-0.713356341878237
FBgn0265048	-0.366502505653133
FBgn0266377	-0.400349441659658
FBgn0038237	-0.990318043086958
FBgn0032899	-0.536729831197813
FBgn0263336	-0.828762032874542
FBgn0010786	0.405784765737422
FBgn0036641	0.636117406642871
FBgn0023477	0.443535238425656
FBgn0270926	-0.438547338009932
FBgn0029608	-0.532503579596272
FBgn0002609	-0.950024176774093
FBgn0032820	0.53524288323364
